,control
ADIPOR1,5.09883289044741
ADIPOR2,4.304456164926613
ADIRF,4.269043671141285
ADM,2.289601858955807
ADM5,0.3474959806784017
ADNP,2.999020089581733
ADORA1,0.4221542582231046
ADORA3,0.0
ADPGK,2.0314899209798365
ADPRH,1.7239794707253773
ADPRHL1,5.746615379910615
ADPRM,2.0267701873306523
ADRA1B,0.4277384747661493
ADRA2A,0.4273727138137669
ADRA2B,1.3614593727955955
ADRA2C,0.9977899798083848
ADRB2,2.944013854660812
ADRBK1,3.2480099473600017
ADRBK2,0.37040518366839487
ADRM1,5.502864747453853
ADSL,4.690983456810869
ADSS,1.5018683075391128
ADSSL1,7.421642277055476
AEBP1,2.277661288243891
AEN,1.3998135686642286
AES,7.836888468077001
AFAP1,0.6458833809646027
AFAP1L1,1.4119826442159367
AFF1,3.0185678337724773
AFF4,2.4943466442452022
AFG3L1P,2.7998816761620833
AFG3L2,4.688945765941028
AFMID,1.7711949027193326
AGAP11,1.0710316280070091
AGAP2_AS1,1.4881834701275745
AGAP3,2.432777354821023
AGAP4,1.4983043541209513
AGAP6,2.3584938518251937
AGAP7P,0.0
AGER,0.4611507203808902
AGFG1,1.7957686412633007
AGK,1.9533114827188196
AGL,3.7482794016698158
AGMAT,2.769851452590941
AGPAT1,4.869018335676276
AGPAT2,2.3197050735566167
AGPAT3,2.957567348854499
AGPAT4_IT1,0.1202421688045966
AGPAT5,2.4999128338087813
AGPAT9,3.4964933924861663
AGPS,1.7353251798442626
AGRN,0.9925950929280374
AGT,3.781665065603687
AGTR1,1.9736650685651052
AGTRAP,2.188442777972244
AHCY,4.091036409622281
AHCYL1,4.06016661727624
AHCYL2,3.01083810015841
AHNAK,5.000358165339167
AHNAK2,0.2399165438568379
AHR,0.7979133629394184
AHSA2,2.992001242955441
AHSP,0.0
AIDA,2.9520405546203143
AIF1,0.8689712204342536
AIF1L,2.303025272932531
AIFM1,2.888193961084003
AIFM2,1.1838908646953252
AIG1,2.702994003605844
AIM1,0.2314832169964956
AIMP1,3.4774510964125476
AIMP2,4.605722210668194
AIP,2.600220785147902
AJUBA,0.3126087231158163
AK1,7.724189070891674
AK2,2.8784237216869517
AK3,2.3182145451537783
AK6,3.563062727758151
AKAP1,5.525837715368731
AKAP11,1.4475703576109007
AKAP12,1.578493077491332
