,control
AFF4,2.6088392788005903
AFG3L1P,3.074515540673855
AFG3L2,4.480221232949033
AFMID,2.1441472241836266
AGAP11,1.2334561684471261
AGAP2_AS1,1.920012738308703
AGAP3,2.8016060912480745
AGAP4,1.5267694506623435
AGAP6,2.4161192952060127
AGAP7P,0.0
AGER,1.1846649618102465
AGFG1,1.7816366843841585
AGK,2.204228690943907
AGL,2.8685680501805737
AGMAT,2.1428375246108344
AGPAT1,4.953754172960025
AGPAT2,3.0889994263940577
AGPAT3,3.1209714561327964
AGPAT4_IT1,0.23279826670018722
AGPAT5,2.7381752915948177
AGPAT9,3.359525246625674
AGPS,2.00886870299063
AGRN,1.620122327558631
AGT,4.114147438719334
AGTR1,2.2045692662991825
AGTRAP,3.456999152623665
AHCY,4.2358919954795535
AHCYL1,3.9270065805936234
AHCYL2,2.561456162574261
AHNAK,5.400886094859315
AHNAK2,0.8178467044597668
AHR,1.3031325220429644
AHSA2,3.479269629355824
AHSP,0.0
AIDA,3.1798860067096135
AIF1,2.051040365544352
AIF1L,2.6147750877870686
AIFM1,2.7303201910051635
AIFM2,1.4102450303007283
AIG1,3.0270662695470993
AIM1,0.6538460602594998
AIMP1,3.1826242922264605
AIMP2,4.597110043654793
AIP,3.002583175853889
AJUBA,0.6621672096088698
AK1,8.015173752265506
AK2,3.1573414374462216
AK3,1.9211418965218923
AK6,3.5331100365412933
AKAP1,5.125141324375315
AKAP11,1.5356359508766015
AKAP12,1.4937549173070557
AKAP13,1.5890841580097976
AKAP6,3.652483167824373
AKAP7,2.0454978396599652
AKAP8L,3.2326535432970367
AKAP9,1.4095989407941634
AKIP1,2.953324286783592
AKIRIN1,3.536874380639537
AKIRIN2,5.012342776613558
AKNA,0.8381030392607884
AKR1A1,2.2083515057866676
AKR1B10,1.6108587782021935
AKR1B15,1.5827125474048074
AKR1C1,3.3457926220873615
AKR1C2,0.5798916635710897
AKR1C3,3.112714976587292
AKR7A2,3.1979240350234504
AKT1,4.35157200806087
AKT1S1,3.501373537667472
AKT2,3.34487492944692
AKT3,1.6838531774883276
AKTIP,4.245528215883564
ALAS1,4.237211414206791
ALAS2,0.0
ALCAM,0.8018514800969038
ALDH16A1,1.0913464363411811
ALDH18A1,1.471875731003499
ALDH1A1,3.531942458421336
ALDH1A2,1.8732360048963415
ALDH1A3,1.9061305760642648
